combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
10_roc_momentum × USDJPY1440_comma,0.14473272897780556,583,0.1545145768116713,0.3995418567600884,2.652412439934838e-05
10_roc_momentum × XAGUSD1440_comma,0.06752110034385746,1076,-0.17548025314173823,0.5011824257106847,-0.00023741219952208017
10_roc_momentum × xauusd_1D_comma,0.2047514848390122,664,0.27405346281318105,0.7024950664199167,6.527258446735412e-05
25_bollinger_rsi_double × BRENTCMDUSD1440_comma,-0.23069709284151296,1373,0.1831628696524701,-0.10564501081201187,0.0003032515971616885
25_bollinger_rsi_double × DEUIDXEUR1440_comma,-0.10221944357611754,910,0.6446666917562879,-0.538161693694173,0.0005154002573026331
25_bollinger_rsi_double × EURUSD1440_comma,0.554548296342607,156,0.07972462313456258,-0.0495554340403307,3.218406273389162e-05
25_bollinger_rsi_double × GBPUSD1440_comma,0.6001875586120663,158,-0.001818955232681427,-0.04140859406938054,8.216660736698926e-06
25_bollinger_rsi_double × GBRIDXGBP1440_comma,-0.13441700531416068,703,0.04246302039412282,-0.294723949997824,4.747384901471378e-05
25_bollinger_rsi_double × USA30IDXUSD1440_comma,-0.0015629884338855893,653,0.4811103425042679,-0.644590235261129,0.0003033469103699991
25_bollinger_rsi_double × USA500IDXUSD1440_comma,-0.08158799624882776,702,0.2139626169622448,-0.7582137152925472,0.00018066790836637138
25_bollinger_rsi_double × USATECHIDXUSD1440_comma,-0.23194748358862144,1114,-0.10016710622132446,-0.9143726035632954,9.339799977193855e-05
25_bollinger_rsi_double × USDCAD1440_comma,-0.5961237886839638,682,-0.03078252250802008,-0.3433868942452326,4.926675592966575e-05
25_bollinger_rsi_double × USDCHF1440_comma,-0.17786808377618005,589,0.055015874259812594,0.14819561800608771,9.594180725681838e-06
25_bollinger_rsi_double × USDJPY1440_comma,-0.07408565176617693,601,-0.18132607631415876,-0.39954185676008863,-5.04939398840183e-05
25_bollinger_rsi_double × XAGUSD1440_comma,0.15473585495467335,784,-0.006372478994477326,0.5011824257106845,-9.93836976863754e-05
25_bollinger_rsi_double × xauusd_1D_comma,-0.416380118787121,1087,-0.44868005723659865,-0.7024950664199167,-7.855174618535328e-05
