status,data_path,timeframe,rsi_length,bb_length,bb_mult,n_windows,mean_IS_sharpe,mean_OOS_sharpe,degradation_ratio,robust,chained_OOS_sharpe,chained_OOS_benchmark_sharpe,chained_OOS_excess_sharpe,chained_OOS_CAGR,chained_OOS_maxdd,n_low_confidence,has_edge
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,6,50,1.5,18,-0.044,0.121,-2.77,False,0.022,-0.738,0.761,-0.93,-43.13,18,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,14,200,1.5,16,-0.092,0.164,-1.791,False,0.108,-0.632,0.74,0.3,-34.72,16,True
success,data/raw/fourhours/USATECHIDXUSD240_comma.csv,4H,14,200,1.5,19,0.006,-0.288,-49.378,False,-0.286,-1.023,0.737,-8.45,-64.28,19,True
success,data/raw/fourhours/USA30IDXUSD240_comma.csv,4H,6,50,1.5,19,-0.194,0.002,-0.008,False,0.061,-0.669,0.73,-0.44,-40.34,19,True
success,data/raw/fourhours/USA500IDXUSD240_comma.csv,4H,6,200,2.0,19,0.493,0.495,1.004,True,0.524,-0.201,0.724,8.19,-28.51,19,True
success,data/raw/daily/GBRIDXGBP1440_comma.csv,1D,14,200,1.5,20,0.397,0.04,0.101,False,0.164,-0.541,0.705,1.36,-38.14,20,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,14,200,2.0,26,0.296,0.391,1.323,True,0.361,-0.335,0.697,2.93,-22.76,26,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,14,100,1.5,27,0.093,0.098,1.052,True,0.201,-0.466,0.667,1.43,-21.27,27,True
success,data/raw/daily/GBPUSD1440_comma.csv,1D,6,100,2.0,32,0.115,0.11,0.951,True,0.023,-0.633,0.656,-0.2,-31.33,32,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,50,2.0,16,0.021,-0.226,-10.709,False,-0.144,-0.791,0.647,-4.55,-48.68,16,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,200,1.5,27,0.059,0.047,0.799,True,0.035,-0.6,0.635,-0.1,-34.58,27,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,20,1.5,27,0.328,0.357,1.088,True,0.423,-0.21,0.634,3.51,-19.5,27,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,6,200,2.0,16,0.606,0.584,0.964,True,0.45,-0.174,0.624,6.9,-38.37,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,100,2.0,16,0.007,0.145,19.406,True,0.031,-0.59,0.62,-1.23,-53.13,16,True
success,data/raw/fourhours/USATECHIDXUSD240_comma.csv,4H,6,100,1.5,19,-0.202,-0.305,1.514,False,-0.305,-0.917,0.612,-8.84,-66.34,19,True
success,data/raw/fourhours/DEUIDXEUR240_comma.csv,4H,14,200,1.5,19,0.039,0.082,2.074,True,0.097,-0.508,0.605,0.05,-48.12,19,True
success,data/raw/daily/xauusd_1D_comma.csv,1D,6,100,1.5,36,-0.22,-0.252,1.145,False,-0.264,-0.858,0.594,-5.8,-66.68,36,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,6,200,2.0,16,0.16,0.363,2.269,True,0.196,-0.398,0.594,1.98,-52.73,16,True
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,200,2.0,20,-0.075,-0.12,1.601,False,-0.056,-0.647,0.591,-3.72,-66.84,20,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,100,2.0,16,0.003,-0.255,-74.83,False,-0.309,-0.901,0.591,-6.19,-51.42,16,True
success,data/raw/fourhours/USATECHIDXUSD240_comma.csv,4H,6,200,1.5,19,-0.169,-0.449,2.663,False,-0.432,-1.022,0.59,-11.38,-75.37,19,True
success,data/raw/fourhours/USA500IDXUSD240_comma.csv,4H,6,100,1.5,19,-0.264,-0.282,1.071,False,-0.296,-0.879,0.583,-6.74,-54.55,19,True
success,data/raw/fourhours/USA500IDXUSD240_comma.csv,4H,6,200,1.5,19,-0.169,-0.19,1.125,False,-0.138,-0.721,0.583,-4.01,-52.82,19,True
success,data/raw/daily/GBRIDXGBP1440_comma.csv,1D,6,200,1.5,20,0.375,0.069,0.183,False,0.169,-0.412,0.581,1.43,-32.83,20,True
success,data/raw/daily/GBPUSD1440_comma.csv,1D,6,200,2.0,32,-0.015,0.05,-3.295,False,0.055,-0.509,0.564,0.09,-36.74,32,True
success,data/raw/daily/GBRIDXGBP1440_comma.csv,1D,6,50,1.5,20,0.396,0.297,0.75,True,0.42,-0.138,0.558,5.44,-18.72,20,True
success,data/raw/fourhours/USATECHIDXUSD240_comma.csv,4H,14,200,2.0,19,-0.001,-0.099,121.551,False,-0.112,-0.664,0.552,-4.83,-58.37,19,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,14,20,1.5,16,0.042,0.223,5.247,True,0.155,-0.365,0.519,1.22,-44.34,16,True
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,14,50,2.0,20,-0.365,-0.891,2.444,False,-0.29,-0.801,0.51,-2.64,-37.74,20,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,200,2.5,26,0.253,0.172,0.682,True,0.15,-0.359,0.51,0.96,-25.96,26,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,100,2.0,16,0.216,-0.052,-0.242,False,-0.094,-0.592,0.498,-2.81,-36.6,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,14,50,2.0,16,-0.095,-0.162,1.712,False,-0.131,-0.627,0.496,-4.31,-69.41,16,True
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,6,100,2.0,18,0.19,0.271,1.426,True,0.114,-0.374,0.488,0.55,-38.31,18,True
